userid,itemid,score
1,1,5
2,1,5
3,1,4
4,1,4
5,1,5
6,1,5
7,1,5
8,1,4
9,1,5
10,1,5
11,1,4
12,1,4
13,1,5
14,1,5
15,1,4
16,1,5
17,1,5
18,1,4
19,1,5
20,1,5
21,1,5
22,1,4
23,1,5
24,1,5
25,1,5
26,1,5
27,1,5
28,1,4
29,1,5
30,1,5
31,1,3
32,1,5
33,1,4
34,1,5
35,1,5
36,1,4
37,1,5
38,1,5
39,1,5
40,1,5
41,1,5
42,1,5
43,1,5
44,1,5
45,1,5
46,1,5
47,1,5
48,1,5
49,1,5
50,1,5
51,1,5
52,1,4
53,1,5
54,1,5
55,1,4
56,1,5
57,1,5
58,1,5
59,1,5
60,1,5
61,1,5
62,1,4
63,1,5
64,1,5
65,1,5
66,1,5
67,1,4
68,1,5
69,1,5
70,1,5
71,1,5
72,1,5
73,1,5
74,1,5
75,1,5
76,1,5
77,1,5
78,1,5
79,1,5
80,1,5
81,1,5
82,1,5
83,1,5
84,1,5
85,1,5
86,1,5
87,1,5
88,1,5
89,1,4
90,1,4
91,1,4
92,1,5
93,1,3
94,1,5
95,1,5
96,1,5
97,1,5
98,1,4
99,1,5
100,1,5
101,1,5
102,1,5
103,1,5
104,1,4
105,1,4
106,1,5
107,1,5
108,1,4
109,1,5
110,1,5
111,1,5
112,1,5
113,1,5
114,1,5
115,1,5
116,1,4
117,1,5
118,1,5
119,1,5
120,1,5
121,1,5
122,1,5
123,1,5
124,1,4
125,1,5
126,1,5
127,1,5
128,1,5
129,1,5
130,1,4
131,1,5
132,1,5
133,1,5
134,1,4
135,1,5
136,1,4
137,1,4
138,1,5
139,1,5
140,1,5
141,1,5
142,1,5
143,1,4
144,1,5
145,1,4
146,1,5
147,1,5
148,1,5
149,1,5
150,1,5
151,1,5
152,1,5
153,1,5
154,1,4
155,1,5
156,1,5
157,1,5
158,1,5
159,1,5
160,1,4
161,1,5
162,1,4
163,1,4
164,1,5
165,1,4
166,1,3
167,1,5
168,1,5
169,1,4
170,1,4
171,1,5
172,1,5
173,1,5
174,1,5
175,1,5
176,1,5
177,1,5
178,1,5
179,1,5
180,1,5
181,1,5
182,1,4
183,1,5
184,1,5
185,1,5
186,1,5
187,1,5
188,1,5
189,1,5
190,1,5
191,1,5
192,1,5
193,1,4
194,1,5
195,1,5
196,1,5
197,1,5
198,1,5
199,1,5
200,1,5
1,2,5
2,2,4
3,2,5
4,2,5
5,2,5
6,2,5
7,2,3
8,2,5
9,2,4
10,2,5
11,2,5
12,2,5
13,2,5
14,2,5
15,2,5
16,2,5
17,2,5
18,2,5
19,2,5
20,2,5
21,2,5
22,2,5
23,2,5
24,2,5
25,2,5
26,2,5
27,2,4
28,2,5
29,2,5
30,2,5
31,2,5
32,2,5
33,2,5
34,2,5
35,2,5
36,2,5
37,2,5
38,2,5
39,2,5
40,2,5
41,2,5
42,2,5
43,2,5
44,2,5
45,2,5
46,2,5
47,2,5
48,2,5
49,2,5
50,2,5
51,2,5
52,2,3
53,2,3
54,2,5
55,2,5
56,2,5
57,2,5
58,2,4
59,2,5
60,2,5
61,2,4
62,2,5
63,2,5
64,2,5
65,2,5
66,2,4
67,2,5
68,2,4
69,2,5
70,2,5
71,2,4
72,2,4
73,2,4
74,2,4
75,2,4
76,2,5
77,2,5
78,2,5
79,2,5
80,2,5
81,2,5
82,2,5
83,2,5
84,2,5
85,2,4
86,2,4
87,2,3
88,2,4
89,2,5
90,2,3
91,2,4
92,2,5
93,2,4
94,2,4
95,2,5
96,2,5
97,2,5
98,2,4
99,2,3
100,2,4
101,2,4
102,2,5
103,2,4
104,2,3
105,2,5
106,2,4
107,2,3
108,2,5
109,2,5
110,2,5
111,2,4
112,2,3
113,2,5
114,2,4
115,2,3
116,2,5
117,2,4
118,2,3
119,2,4
120,2,2
121,2,3
122,2,5
123,2,1
124,2,5
125,2,5
126,2,4
127,2,5
128,2,3
129,2,4
130,2,3
131,2,4
132,2,4
133,2,5
134,2,5
135,2,1
136,2,5
137,2,4
138,2,3
139,2,1
140,2,5
141,2,2
142,2,5
143,2,5
144,2,3
145,2,2
146,2,4
147,2,1
148,2,5
149,2,3
150,2,5
151,2,4
152,2,4
153,2,3
154,2,5
155,2,5
156,2,5
157,2,4
158,2,4
159,2,4
160,2,5
161,2,4
162,2,3
163,2,5
164,2,5
165,2,5
166,2,2
167,2,1
168,2,5
169,2,5
170,2,4
171,2,3
